Wavelength,Transmission
1193,5.037E+01
1194,5.036E+01
1195,5.033E+01
1196,5.034E+01
1197,5.039E+01
1198,5.052E+01
1199,5.063E+01
1200,5.062E+01
1201,5.055E+01
1202,5.054E+01
1203,5.056E+01
1204,5.061E+01
1205,5.069E+01
1206,5.075E+01
1207,5.073E+01
1208,5.071E+01
1209,5.067E+01
1210,5.062E+01
1211,5.056E+01
1212,5.045E+01
1213,5.035E+01
1214,5.032E+01
1215,5.034E+01
1216,5.039E+01
1217,5.046E+01
1218,5.054E+01
1219,5.066E+01
1220,5.073E+01
1221,5.069E+01
1222,5.070E+01
1223,5.079E+01
1224,5.085E+01
1225,5.082E+01
1226,5.076E+01
1227,5.067E+01
1228,5.054E+01
1229,5.044E+01
1230,5.039E+01
1231,5.031E+01
1232,5.026E+01
1233,5.021E+01
1234,5.022E+01
1235,5.029E+01
1236,5.037E+01
1237,5.043E+01
1238,5.048E+01
1239,5.054E+01
1240,5.061E+01
1241,5.067E+01
1242,5.070E+01
1243,5.072E+01
1244,5.076E+01
1245,5.078E+01
1246,5.076E+01
1247,5.075E+01
1248,5.079E+01
1249,5.089E+01
1250,5.100E+01
1251,5.111E+01
1252,5.120E+01
1253,5.124E+01
1254,5.130E+01
1255,5.137E+01
1256,5.142E+01
1257,5.144E+01
1258,5.141E+01
1259,5.145E+01
1260,5.155E+01
1261,5.168E+01
1262,5.170E+01
1263,5.163E+01
1264,5.158E+01
1265,5.154E+01
1266,5.151E+01
1267,5.148E+01
1268,5.148E+01
1269,5.150E+01
1270,5.153E+01
1271,5.156E+01
1272,5.160E+01
1273,5.163E+01
1274,5.164E+01
1275,5.169E+01
1276,5.183E+01
1277,5.198E+01
1278,5.213E+01
1279,5.225E+01
1280,5.230E+01
1281,5.228E+01
1282,5.223E+01
1283,5.221E+01
1284,5.223E+01
1285,5.229E+01
1286,5.242E+01
1287,5.253E+01
1288,5.262E+01
1289,5.270E+01
1290,5.279E+01
1291,5.287E+01
1292,5.294E+01
1293,5.301E+01
1294,5.304E+01
1295,5.307E+01
1296,5.313E+01
1297,5.321E+01
1298,5.327E+01
1299,5.333E+01
1300,5.337E+01
1301,5.330E+01
1302,5.323E+01
1303,5.327E+01
1304,5.339E+01
1305,5.352E+01
1306,5.359E+01
1307,5.362E+01
1308,5.366E+01
1309,5.364E+01
1310,5.361E+01
1311,5.362E+01
1312,5.368E+01
1313,5.376E+01
1314,5.385E+01
1315,5.394E+01
1316,5.404E+01
1317,5.410E+01
1318,5.414E+01
1319,5.414E+01
1320,5.414E+01
1321,5.413E+01
1322,5.410E+01
1323,5.409E+01
1324,5.420E+01
1325,5.437E+01
1326,5.447E+01
1327,5.454E+01
1328,5.456E+01
1329,5.451E+01
1330,5.440E+01
1331,5.433E+01
1332,5.437E+01
1333,5.443E+01
1334,5.444E+01
1335,5.442E+01
1336,5.437E+01
1337,5.432E+01
1338,5.428E+01
1339,5.433E+01
1340,5.451E+01
1341,5.476E+01
1342,5.503E+01
1343,5.522E+01
1344,5.528E+01
1345,5.524E+01
1346,5.532E+01
1347,5.548E+01
1348,5.566E+01
1349,5.572E+01
1350,5.577E+01
1351,5.581E+01
1352,5.576E+01
1353,5.571E+01
1354,5.577E+01
1355,5.602E+01
1356,5.631E+01
1357,5.642E+01
1358,5.630E+01
1359,5.605E+01
1360,5.589E+01
1361,5.610E+01
1362,5.635E+01
1363,5.635E+01
1364,5.624E+01
1365,5.607E+01
1366,5.575E+01
1367,5.566E+01
1368,5.583E+01
1369,5.587E+01
1370,5.587E+01
1371,5.600E+01
1372,5.616E+01
1373,5.614E+01
1374,5.617E+01
1375,5.653E+01
1376,5.702E+01
1377,5.735E+01
1378,5.718E+01
1379,5.661E+01
1380,5.625E+01
1381,5.631E+01
1382,5.678E+01
1383,5.720E+01
1384,5.716E+01
1385,5.691E+01
1386,5.680E+01
1387,5.690E+01
1388,5.728E+01
1389,5.773E+01
1390,5.774E+01
1391,5.760E+01
1392,5.760E+01
1393,5.735E+01
1394,5.695E+01
1395,5.710E+01
1396,5.755E+01
1397,5.739E+01
1398,5.685E+01
1399,5.651E+01
1400,5.674E+01
1401,5.727E+01
1402,5.774E+01
1403,5.803E+01
1404,5.817E+01
1405,5.807E+01
1406,5.782E+01
1407,5.760E+01
1408,5.768E+01
1409,5.796E+01
1410,5.801E+01
1411,5.769E+01
1412,5.744E+01
1413,5.766E+01
1414,5.804E+01
1415,5.825E+01
1416,5.852E+01
1417,5.867E+01
1418,5.846E+01
1419,5.822E+01
1420,5.850E+01
1421,5.890E+01
1422,5.901E+01
1423,5.866E+01
1424,5.833E+01
1425,5.836E+01
1426,5.856E+01
1427,5.870E+01
1428,5.887E+01
1429,5.909E+01
1430,5.936E+01
1431,5.949E+01
1432,5.948E+01
1433,5.957E+01
1434,5.976E+01
1435,5.985E+01
1436,5.984E+01
1437,5.962E+01
1438,5.950E+01
1439,5.950E+01
1440,5.962E+01
1441,5.970E+01
1442,5.971E+01
1443,5.967E+01
1444,5.971E+01
1445,5.984E+01
1446,5.990E+01
1447,5.986E+01
1448,5.989E+01
1449,6.001E+01
1450,6.015E+01
1451,6.024E+01
1452,6.031E+01
1453,6.021E+01
1454,6.013E+01
1455,6.007E+01
1456,6.002E+01
1457,5.999E+01
